County,Date,Connections
Cavan,Unnamed: 21,32
Clare,Unnamed: 21,26
Cork,Unnamed: 21,65
Donegal,Unnamed: 21,34
D/L Rathdown,Unnamed: 21,45
Fingal,Unnamed: 21,84
Galway,Unnamed: 21,53
Kerry,Unnamed: 21,41
Kildare,Unnamed: 21,86
Kilkenny,Unnamed: 21,18
Laois,Unnamed: 21,6
Leitrim,Unnamed: 21,14
Limerick City and County,Unnamed: 21,25
Longford,Unnamed: 21,9
Louth,Unnamed: 21,36
Mayo,Unnamed: 21,40
Meath,Unnamed: 21,37
Monaghan,Unnamed: 21,11
Offaly,Unnamed: 21,17
Roscommon,Unnamed: 21,19
Sligo,Unnamed: 21,15
South Dublin,Unnamed: 21,27
Tipperary,Unnamed: 21,20
Waterford City and County,Unnamed: 21,21
Westmeath,Unnamed: 21,6
Wexford,Unnamed: 21,34
Wicklow,Unnamed: 21,32
Cork,Unnamed: 21,16
Dublin,Unnamed: 21,63
Galway,Unnamed: 21,0
TOTALS,Unnamed: 21,949
Carlow ,Unnamed: 22,18
Cavan,Unnamed: 22,22
Clare,Unnamed: 22,30
Cork,Unnamed: 22,131
Donegal,Unnamed: 22,46
D/L Rathdown,Unnamed: 22,51
Fingal,Unnamed: 22,87
Galway,Unnamed: 22,55
Kerry,Unnamed: 22,32
Kildare,Unnamed: 22,57
Kilkenny,Unnamed: 22,16
Laois,Unnamed: 22,21
Leitrim,Unnamed: 22,16
Limerick City and County,Unnamed: 22,54
Longford,Unnamed: 22,14
Louth,Unnamed: 22,21
Mayo,Unnamed: 22,44
Meath,Unnamed: 22,54
Monaghan,Unnamed: 22,13
Offaly,Unnamed: 22,29
Roscommon,Unnamed: 22,30
Sligo,Unnamed: 22,16
South Dublin,Unnamed: 22,36
Tipperary,Unnamed: 22,23
Waterford City and County,Unnamed: 22,82
Westmeath,Unnamed: 22,22
Wexford,Unnamed: 22,40
Wicklow,Unnamed: 22,48
Cork,Unnamed: 22,13
Dublin,Unnamed: 22,83
Galway,Unnamed: 22,16
TOTALS,Unnamed: 22,"1,220"
Carlow ,Unnamed: 23,12
Cavan,Unnamed: 23,31
Clare,Unnamed: 23,31
Cork,Unnamed: 23,131
Donegal,Unnamed: 23,31
D/L Rathdown,Unnamed: 23,41
Fingal,Unnamed: 23,175
Galway,Unnamed: 23,57
Kerry,Unnamed: 23,34
Kildare,Unnamed: 23,61
Kilkenny,Unnamed: 23,14
Laois,Unnamed: 23,15
Leitrim,Unnamed: 23,19
Limerick City and County,Unnamed: 23,58
Longford,Unnamed: 23,7
Louth,Unnamed: 23,25
Mayo,Unnamed: 23,28
Meath,Unnamed: 23,39
Monaghan,Unnamed: 23,23
Offaly,Unnamed: 23,11
Roscommon,Unnamed: 23,21
Sligo,Unnamed: 23,13
South Dublin,Unnamed: 23,27
Tipperary,Unnamed: 23,34
Waterford City and County,Unnamed: 23,28
Westmeath,Unnamed: 23,15
Wexford,Unnamed: 23,40
Wicklow,Unnamed: 23,36
Cork,Unnamed: 23,16
Dublin,Unnamed: 23,58
Galway,Unnamed: 23,7
TOTALS,Unnamed: 23,"1,138"
Carlow ,Unnamed: 24,33
Cavan,Unnamed: 24,37
Clare,Unnamed: 24,29
Cork,Unnamed: 24,143
Donegal,Unnamed: 24,51
D/L Rathdown,Unnamed: 24,43
Fingal,Unnamed: 24,120
Galway,Unnamed: 24,56
Kerry,Unnamed: 24,61
Kildare,Unnamed: 24,70
Kilkenny,Unnamed: 24,27
Laois,Unnamed: 24,12
Leitrim,Unnamed: 24,16
Limerick City and County,Unnamed: 24,36
Longford,Unnamed: 24,22
Louth,Unnamed: 24,33
Mayo,Unnamed: 24,41
Meath,Unnamed: 24,51
Monaghan,Unnamed: 24,31
Offaly,Unnamed: 24,4
Roscommon,Unnamed: 24,14
Sligo,Unnamed: 24,18
South Dublin,Unnamed: 24,32
Tipperary,Unnamed: 24,32
Waterford City and County,Unnamed: 24,35
Westmeath,Unnamed: 24,26
Wexford,Unnamed: 24,63
Wicklow,Unnamed: 24,39
Cork,Unnamed: 24,30
Dublin,Unnamed: 24,53
Galway,Unnamed: 24,4
TOTALS,Unnamed: 24,"1,262"
Carlow ,Unnamed: 25,30
Cavan,Unnamed: 25,38
Clare,Unnamed: 25,33
Cork,Unnamed: 25,131
Donegal,Unnamed: 25,52
D/L Rathdown,Unnamed: 25,68
Fingal,Unnamed: 25,132
Galway,Unnamed: 25,65
Kerry,Unnamed: 25,50
Kildare,Unnamed: 25,93
Kilkenny,Unnamed: 25,18
Laois,Unnamed: 25,20
Leitrim,Unnamed: 25,12
Limerick City and County,Unnamed: 25,61
Longford,Unnamed: 25,13
Louth,Unnamed: 25,19
Mayo,Unnamed: 25,37
Meath,Unnamed: 25,62
Monaghan,Unnamed: 25,21
Offaly,Unnamed: 25,14
Roscommon,Unnamed: 25,14
Sligo,Unnamed: 25,17
South Dublin,Unnamed: 25,23
Tipperary,Unnamed: 25,52
Waterford City and County,Unnamed: 25,29
Westmeath,Unnamed: 25,25
Wexford,Unnamed: 25,74
Wicklow,Unnamed: 25,44
Cork,Unnamed: 25,40
Dublin,Unnamed: 25,62
Galway,Unnamed: 25,3
TOTALS,Unnamed: 25,"1,352"
Carlow ,Unnamed: 26,210
Cavan,Unnamed: 26,300
Clare,Unnamed: 26,341
Cork,Unnamed: 26,"1,200"
Donegal,Unnamed: 26,502
D/L Rathdown,Unnamed: 26,651
Fingal,Unnamed: 26,"1,260"
Galway,Unnamed: 26,639
Kerry,Unnamed: 26,437
Kildare,Unnamed: 26,767
Kilkenny,Unnamed: 26,196
Laois,Unnamed: 26,175
Leitrim,Unnamed: 26,150
Limerick City and County,Unnamed: 26,459
Longford,Unnamed: 26,169
Louth,Unnamed: 26,368
Mayo,Unnamed: 26,421
Meath,Unnamed: 26,488
Monaghan,Unnamed: 26,192
Offaly,Unnamed: 26,198
Roscommon,Unnamed: 26,195
Sligo,Unnamed: 26,167
South Dublin,Unnamed: 26,313
Tipperary,Unnamed: 26,370
Waterford City and County,Unnamed: 26,380
Westmeath,Unnamed: 26,203
Wexford,Unnamed: 26,494
Wicklow,Unnamed: 26,439
Cork,Unnamed: 26,232
Dublin,Unnamed: 26,667
Galway,Unnamed: 26,83
TOTALS,Unnamed: 26,"12,666"
Carlow ,2016,12
Cavan,2016,8
Clare,2016,26
Cork,2016,84
Donegal,2016,44
D/L Rathdown,2016,86
Fingal,2016,109
Galway,2016,39
Kerry,2016,19
Kildare,2016,76
Kilkenny,2016,7
Laois,2016,11
Leitrim,2016,12
Limerick City and County,2016,21
Longford,2016,6
Louth,2016,15
